Word    :   Frequency
ਰਾਜਿ : 1
ਰਾਤਿ : 1
ਰਾਤੀ : 1
ਰਾਹਿ : 1
ਰਿਧਿ : 1
ਰੀਸ : 1
ਰੁਤਿ : 1
ਰੰਗਾ : 1
ਰੰਗਿ : 1
ਲਈ : 1
ਲਈਐ : 1
ਲਾਏ : 1
ਲਾਗੈ : 1
ਲਿਖਣਹਾਰੁ : 1
ਲਿਖਣੁ : 1
ਲਿਖਨਿ : 1
ਲਿਖੇ : 1
ਲੇਇ : 1
ਲੇਖੇ : 1
ਲੇਖੈ : 1
ਲੈਦੇ : 1
ਵਖਾਣਿ : 1
ਵਖਿਆਣ : 1
ਵਡਿਆਈਆ : 1
ਵਡੀ : 1
ਵਰਨੀ : 1
ਵਰਭੰਡ : 1
ਵਰਭੰਡਾ : 1
ਵਸਹਿ : 1
ਵਾਚੈ : 1
ਵਾਜਹਿ : 1
ਵਾਜੇ : 1
ਵਾਪਾਰ : 1
ਵਾਪਾਰੀਏ : 1
ਵਾਵਣਹਾਰੇ : 1
ਵਾਹ : 1
ਵਿਆਈ : 1
ਵਿਖਮੁ : 1
ਵਿਚਾਰੇ : 1
ਵਿਜੋਗੁ : 1
ਵਿਡਾਣੁ : 1
ਵਿਣਾਸੁ : 1
ਵਿਦਿਆ : 1
ਵੀਚਾਰ : 1
ਵੀਚਾਰਿ : 1
ਵੀਰ : 1
ਵੀਸ : 1
ਵੀਸਰਹਿ : 1
ਵੁੜੀ : 1
ਵੇਕਾਰ : 1
ਵੇਖਣਿ : 1
ਵੇਖਾ : 1
ਵੇਦਾ : 1
ਵੇਦੁ : 1
ਵੇਦੰ : 1
ਵੇਪਰਵਾਹੁ : 1
ਵੇਲ : 1
ਵੈਸੰਤਰ : 1
ਸਕਹਿ : 1
ਸਚ : 1
ਸਚਿਆਰਾ : 1
ਸਚੀ : 1
ਸਚੇ : 1
ਸਤੁ : 1
ਸਦ : 1
ਸਨਬੰਧੁ : 1
ਸਬਦੁ : 1
ਸਭ : 1
ਸਭਿ : 1
ਸਮਾਈ : 1
ਸਮਾਧੀ : 1
ਸਮਾਲੇ : 1
ਸਮਾਹਿ : 1
ਸਮੁੰਦਿ : 1
ਸਰਬ : 1
ਸਰਮ : 1
ਸਰਮੁ : 1
ਸਰਾ : 1
ਸਲੋਕੁ : 1
ਸਵਾਰੇ : 1
ਸਹਜਿ : 1
ਸਾਚੁ : 1
ਸਾਜਿ : 1
ਸਾਜੇ : 1
ਸਾਥਿ : 1
ਸਾਦ : 1
ਸਾਧ : 1
ਸਾਧਾਰੁ : 1
ਸਾਬੂਣੁ : 1
ਸਾਰ : 1
ਸਾਰੁ : 1
ਸਾਲ : 1
ਸਾਲਾਹਣ : 1
ਸਾਲਾਹਿ : 1
ਸਾਸਤ : 1
ਸਾਹ : 1
ਸਾਹਾ : 1
ਸਿਆਣਪਾ : 1
ਸਿਆਣਾ : 1
ਸਿਧਾ : 1
ਸਿਧਿ : 1
ਸਿਫਤਿ : 1
ਸਿਫਤੀ : 1
ਸਿਮ੍ਰਿਤਿ : 1
ਸਿਰਜਣਹਾਰੁ : 1
ਸਿਰਠਿ : 1
ਸਿਰਠੀ : 1
ਸੀਤਾ : 1
ਸੀਤੋ : 1
ਸੁਅਸਤਿ : 1
ਸੁਆਲਿਹੁ : 1
ਸੁਖ : 1
ਸੁਖੁ : 1
ਸੁਝਈ : 1
ਸੁਣਣਿ : 1
ਸੁਣਿਆ : 1
ਸੁਣੀ : 1
ਸੁਣੀਐ : 1
ਸੁਨਿਆਰੁ : 1
ਸੁਮਾਰੁ : 1
ਸੁਰਗਾ : 1
ਸੁਰਾ : 1
ਸੁਲਤਾਨ : 1
ਸੁਹਾਣੁ : 1
ਸੂਤਿ : 1
ਸੂਰਾ : 1
ਸੇ : 1
ਸੇਈ : 1
ਸੇਖ : 1
ਸੇਵ : 1
ਸੇਵਕ : 1
ਸੇਵਿਆ : 1
ਸੈਭੰ : 1
ਸੋਚਿ : 1
ਸੋਚੀ : 1
